City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nizhniy Kuranakh,33,RU,1561598387,56,58.84,125.49,291.916,2.53
Acapulco,75,MX,1561598323,74,16.86,-99.88,303.15,2.1
Sisimiut,18,GL,1561598387,85,66.94,-53.67,276.716,13.96
Lipin Bor,80,RU,1561598387,92,60.26,37.97,280.516,2.04
Charlestown,20,US,1561598388,100,41.38,-71.64,295.93,2.1
Semirom,0,IR,1561598388,25,31.41,51.57,290.416,1.02
Luganville,75,VU,1561598388,88,-15.51,167.18,298.15,5.1
Volosovo,0,RU,1561598388,82,59.45,29.48,287.15,1.0
Zhezkazgan,89,KZ,1561598388,66,47.8,67.71,294.616,4.56
Zhangye,100,CN,1561598389,59,38.94,100.46,286.916,2.9
Aracaju,40,BR,1561598389,83,-10.92,-37.08,299.15,5.1
Mokhsogollokh,29,RU,1561598389,48,61.4,128.95,293.916,1.32
Road Town,40,VG,1561598340,83,18.42,-64.62,301.15,3.6
Auki,53,NG,1561598389,69,12.18,6.51,298.616,5.65
Rudnogorsk,16,RU,1561598269,54,57.27,103.75,293.616,2.97
Letlhakane,17,BW,1561598389,88,-21.42,25.59,285.916,4.83
Chabahar,0,IR,1561598389,88,25.29,60.65,299.216,0.46
Businga,50,CD,1561598390,93,3.34,20.89,294.516,0.23
Luba,99,PH,1561598390,85,17.32,120.7,298.916,1.09
Sibu,75,MY,1561598390,94,2.29,111.83,298.15,2.1
Torbay,20,CA,1561598297,81,47.66,-52.73,282.04,1.5
